
sample	project	sampleType	sequencingStrategy	libraryType	fq1_rna	fq2_rna	fq1_dna	fq2_dna	cohort	subcohort
SRR12720849	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720849.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12720803	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720803.pair.1.fq.gz	NA	NA	NA	NA	NA
SRR12720794	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720794.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12720854	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720854.pair.1.fq.gz	02_SARS_USA/Final/SRR12720854.pair.2.fq.gz	NA	NA	NA	NA
SRR12720799	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720799.pair.1.fq.gz	02_SARS_USA/Final/SRR12720799.pair.2.fq.gz	NA	NA	Case	Case
SRR12720837	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720837.pair.1.fq.gz	02_SARS_USA/Final/SRR12720837.pair.2.fq.gz	NA	NA	Case	Case
SRR12720848	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720848.pair.1.fq.gz	02_SARS_USA/Final/SRR12720848.pair.2.fq.gz	NA	NA	Case	Case
SRR12720824	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720824.pair.1.fq.gz	NA	NA	NA	NA	NA
SRR12720842	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720842.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12720834	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720834.pair.1.fq.gz	02_SARS_USA/Final/SRR12720834.pair.2.fq.gz	NA	NA	Case	Case
SRR12720792	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720792.pair.1.fq.gz	02_SARS_USA/Final/SRR12720792.pair.2.fq.gz	NA	NA	Case	Case
SRR12720796	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720796.pair.1.fq.gz	NA	NA	NA	NA	NA
SRR12720847	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720847.pair.1.fq.gz	02_SARS_USA/Final/SRR12720847.pair.2.fq.gz	NA	NA	NA	NA
SRR12720810	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720810.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12720839	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720839.pair.1.fq.gz	NA	NA	NA	NA	NA
SRR12641741	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12641741.pair.1.fq.gz	NA	NA	NA	Control	Control
SRR12720835	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720835.pair.1.fq.gz	02_SARS_USA/Final/SRR12720835.pair.2.fq.gz	NA	NA	NA	NA
SRR12641749	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12641749.pair.1.fq.gz	NA	NA	NA	Control	Control
SRR12641761	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12641761.pair.1.fq.gz	NA	NA	NA	Control	Control
SRR12641768	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12641768.pair.1.fq.gz	NA	NA	NA	Control	Control
SRR12720822	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720822.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12641763	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12641763.pair.1.fq.gz	NA	NA	NA	Control	Control
SRR12720802	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720802.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12720804	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720804.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12720858	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720858.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12641759	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12641759.pair.1.fq.gz	NA	NA	NA	Control	Control
SRR12720852	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12720852.pair.1.fq.gz	NA	NA	NA	Case	Case
SRR12641760	sars1	swab	SE	rna	02_SARS_USA/Final/SRR12641760.pair.1.fq.gz	NA	NA	NA	Control	Control
SRR12720830	sars1	swab	PE	rna	02_SARS_USA/Final/SRR12720830.pair.1.fq.gz	02_SARS_USA/Final/SRR12720830.pair.2.fq.gz	NA	NA	NA	NA
